Code,Name,Credits,Prerequisites,Description
INTD-3355,"RESEARCH METHODS IN LIBRARIES"
CISO-4120,"HUMAN WELFARE SEMINAR"
SOCI-4145,"SOCIAL PLANNING"
SOCI-3007,"ENVIROMENTAL SOCIOLOGY"
SOCI-3010,"SOCIAL ASPECTS OF CLIMATE CHANGE"
SOCI-3016,"SOCIOLOGY OF HEALTH"
SOCI-3047,"SOCIOLOGY OF RELIGION"
SOCI-3261,"INTRODUCTION TO SOCIOLOGY I"
SOCI-3262,"INTRODUCTION TO SOCIOLOGY II"
CISO-3266,"QUANTITATIVE RESEARCH METHODS IN THE SOCIAL SCIENCES"
SOCI-3276,"SOCIOLOGICAL WRITING AND DOCUMENTATION"
CISO-3286,"DYNAMICS AND PROCESSES OF GROUPS"
SOCI-3295,"HISTORY OF SOCIAL THOUGHT"
SOCI-3305,"PRINCIPLES OF POPULATION"
SOCI-3315,"MARRIAGE AND THE FAMILY"
SOCI-3325,"URBAN SOCIOLOGY"
SOCI-3337,"JUVENILE DELINQUENCY"
SOCI-3345,"SOCIAL ORGANIZATION"
SOCI-3355,"SOCIETY AND CULTURE IN LATIN AMERICA AND THE CARIBBEAN"
EDFI-4000,"SOCIOLOGICAL FUNDAMENTALS OF RECREATION AND SPORTS"
SOCI-4006,"SPECIAL TOPICS IN SOCIOLOGY"
SOCI-4017,"ENVIRONMENTAL ISSUES IN PUERTO RICO"
SOCI-4027,"ENVIRONMENTAL INEQUALITY"
SOCI-4101,"CRIMINOLOGY"
SOCI-4115,"CONTEMPORARY SOCIAL THEORY"
SOCI-4125,"PUERTO RICAN SOCIOLOGY"
CISO-4146,"SOCIAL PLANNING"
SOCI-4155,"SOCIAL AND CULTURAL CHANGE"
SOCI-4157,"TECHNOLOGY AND SOCIETY"
SOCI-4165,"SOCIAL PROBLEMS IN THE CONTEMPORARY WORLD"
SOCI-4206,"QUALITATIVE RESEARCH METHODS AND TECHNIQUES"
SOCI-4231,"RESEARCH IN SOCIOLOGY I"
SOCI-4232,"RESEARCH IN SOCIOLOGY II"
SOCI-5008,"SOCIOLOGY OF DISASTERS"
SOCI-5015,"ENERGY, ENVIRONMENT AND SOCIETY"
ADMI-3009,"INTRODUCTION TO BUSINESS, MANAGEMENT, AND ETHICS"
ADMI-3010,"COMPUTER COMPETENCE FOR MANAGERIAL DECISION MAKING"
ADMI-3015,"INTRODUCTION TO INTERNATIONAL BUSINESS"
ADMI-3017,"INTRODUCTION TO ENTERPRISE DEVELOPMENT"
ADMI-3018,"ADVANCED SPREADSHEET TECHNIQUES"
ADMI-3028,"ADVANCED SPREADSHEET TECHNIQUES"
ADMI-3100,"NEW BUSINESS DEVELOPMENT"
ADMI-3125,"TECHNOLOGY BASED ENTREPRENEURSHIP"
ADMI-3150,"BUSINESS PLAN DEVELOPMENT"
ADMI-3155,"CREATIVITY AND ENTREPRENEURIAL INNOVATION"
ADMI-3315,"FUNDAMENTALS OF E-COMMERCE"
ADMI-4001,"INTRODUCTION TO LAW"
ADMI-4002,"BUSINESS LAW"
ADMI-4016,"ENVIRONMENT ORGANIZATIONS"
ADMI-4018,"STRATEGIC MANAGEMENT"
ADMI-4026,"INTERNATIONAL ORGANIZATIONS AND ENTREPRENEURSHIP"
ADMI-4039,"BUSINESS RESEARCH METHODS"
ADMI-4040,"BUSINESS DOCUMENTS"
ADMI-4056,"SEMINAR"
ADMI-4057,"SEMINAR"
ADMI-4058,"COMPARISON OF ADMINISTRATIVE SYSTEMS AMONG ENTERPRISES IN PUERTO RICO AND OTHER COUNTRIES"
ADMI-4085,"FUNDAMENTALS OF PROJECT MANAGEMENT"
ADMI-4116,"THE HUMAN DIMENSION OF PROJECT MANAGEMENT"
ADMI-4335,"STRATEGIES FOR CHANGE AND GROWTH OF SMALL AND MIDSIZE BUSINESSES"
ADMI-4995,"SPECIAL PROBLEMS"
ADMI-4996,"SMALL BUSINESS ADVISING"
ADMI-4997,"BUSINESS PRACTICE FOR COOP STUDENTS"
CONT-3005,"ELEMENTARY ACCOUNTING I"
CONT-3006,"ELEMENTARY ACCOUNTING II"
CONT-3007,"INTERMEDIATE ACCOUNTING I"
CONT-3008,"INTERMEDIATE ACCOUNTING II"
CONT-3011,"FINANCIAL ACCOUNTING PRINCIPLES I"
CONT-3012,"FINANCIAL ACCOUNTING PRINCIPLES II"
CONT-4006,"MANAGERIAL ACCOUNTING"
CONT-4007,"FEDERAL INCOME TAX"
CONT-4009,"INCOME TAX OF PUERTO RICO"
CONT-4015,"ADVANCED ACCOUNTING PROBLEMS I"
CONT-4016,"RECENT DEVELOPMENTS IN ACCOUNTING"
CONT-4017,"AUDITING AND SYSTEM"
CONT-4018,"INTERMEDIATE ACCOUNTING I"
CONT-4019,"INTERMEDIATE ACCOUNTING II"
CONT-4027,"ANALYSIS AND COST CONTROL"
CONT-4035,"COST ACCOUNTING"
CONT-4037,"ACCOUNTING INFORMATION SYSTEMS"
CONT-4045,"ADVANCED ACCOUNTING I"
CONT-4046,"ACCOUNTING FOR GOVERMENTAL ENTITIES AND NOT FOR PROFIT ORGANIZATIONS"
CONT-4048,"ADVANCED ACCOUNTING II"
CONT-4078,"COST ACCOUNTING"
CONT-4117,"SERVICE LEARNING THROUGH VOLUNTARY INCOME TAX ASSISTANCE (VITA)"
CONT-4995,"ACCOUNTING INTERNSHIP"
CONT-5006,"TAX LIABILITIES FOR BUSINESSES IN PUERTO RICO"
CONT-5007,"ADVANCED ACCOUNTING RESEARCH"
ESOR-4005,"GOVERNMENTAL CONTROL OF BUSINESS"
GERH-4037,"MANAGING DIVERSITY IN ORGANIZATIONS"
GERH-4007,"ORGANIZATIONAL DESIGN"
GERH-4008,"HUMAN RESOURCES DEVELOPMENT"
GERH-4010,"WOMEN AND WORK"
GERH-4015,"WORKFORCE PLANNING AND EMPLOYMENT"
GERH-4016,"LABOR RELATIONS"
GERH-4017,"COMPARATIVE LABOR LAW"
GERH-4019,"COMPENSATION MANAGEMENT"
GERH-4025,"ORGANIZATIONAL BEHAVIOR"
GERH-4027,"LEADERSHIP IN ORGANIZATIONS"
GERH-4030,"HUMAN RESOURCES DEVELOPMENT"
GERH-4035,"INNOVATION AND ORGANIZATIONAL CHANGE"
GERH-4036,"INTERPERSONAL COMMUNICATION IN THE WORKPLACE"
GERH-4995,"HUMAN RESOURCES MANAGEMENT INTERNSHIP"
ESTA-3001,"BUSINESS STATISTICS I"
ESTA-3002,"BUSINESS STATISTICS II"
FINA-3005,"PRINCIPLES OF INSURANCE"
FINA-3006,"BUSINESS FINANCE"
FINA-3016,"BUSINESS ANALYSIS USING FINANCIAL REPORTS"
FINA-3017,"MONEY, BANKING, AND ECONOMIC CONDITIONS"
FINA-3018,"WORKING CAPITAL MANAGEMENT"
FINA-3035,"PERSONAL FINANCIAL MANAGEMENT"
FINA-3037,"FINANCIAL ANALYSIS AND FINANCING OF SMALL AND MEDIUM ENTERPRISES"
FINA-4017,"INTRODUCTION TO FINTECH"
FINA-4028,"INTERNATIONAL FINANCE"
FINA-4029,"FINANCIAL MARKETS"
FINA-4035,"FINANCIAL MARKETS"
FINA-4036,"ADMINISTRATION OF FINANCIAL INSTITUTIONS"
FINA-4037,"FINANCIAL INVESTMENT MANAGEMENT"
FINA-4039,"PUBLIC SECTOR FINANCES"
FINA-4040,"CURRENT FINANCIAL TRENDS"
FINA-4046,"CORPORATE FINANCE"
FINA-4047,"INVESTMENT ANALYSIS AND PORTFOLIO SELECTION"
FINA-4048,"CREDIT AND COLLECTION MANAGEMENT"
FINA-4055,"FINANCIAL DERIVATIVES"
FINA-4069,"INTEGRATIVE FINANCE"
FINA-4995,"FINANCE INTERNSHIP"
FINA-5015,"PRINCIPLES OF FINANCIAL ENGINEERING"
GERE-4008,"QUANTITATIVE METHODS IN OPERATIONS MANAGEMENT"
GERE-4009,"PRODUCTION PLANNING AND CONTROL"
GERE-4021,"PRODUCTION MANAGEMENT I"
GERE-4022,"PRODUCTION MANAGEMENT II"
GERE-4028,"MATERIALS MANAGEMENT"
GERE-4030,"CONTEMPORARY ASPECTS OF INDUSTRIAL MANAGEMENT"
GERE-4036,"ASSURANCE SCIENCES"
GERE-4045,"SUPPLY CHAIN MANAGEMENT"
GERE-4046,"OPERATIONS MANAGEMENT"
GERE-4055,"SERVICE OPERATIONS MANAGEMENT"
GERE-4085,"PROJECT MANAGEMENT APPLICATIONS IN BUSINESS"
GERE-4318,"QUALITY CONTROL"
GERE-4335,"PURCHASING MANAGEMENT"
GERE-4336,"INVENTORY MANAGEMENT"
GERE-4995,"OPERATIONS MANAGEMENT INTERNSHIP"
MERC-3115,"PRINCIPLES OF MARKETING"
MERC-3117,"SELLING AND SALES MANAGEMENT"
MERC-3120,"INTRODUCTION TO DIGITAL MARKETING"
MERC-4009,"PROMOTION AND ADVERTISEMENT"
MERC-4065,"GLOBAL MARKETING STRATEGIES"
MERC-4075,"MARKETING RESEARCH"
MERC-4215,"RETAIL MANAGEMENT"
MERC-4217,"CONSUMER BEHAVIOR"
MERC-4218,"MANAGEMENT OF LOGISTICS"
MERC-4230,"INTEGRATED MARKETING COMMUNICATIONS"
MERC-4236,"SERVICES MARKETING"
MERC-4995,"MARKETING INTERNSHIP"
SICI-3018,"FUNDAMENTALS OF INFORMATION SYSTEMS"
SICI-3029,"PROGRAMMING FUNDAMENTALS FOR BUSINESS"
SICI-3051,"PROGRAM DEVELOPMENT I"
SICI-3052,"PROGRAM DEVELOPMENT II"
SICI-3056,"STRUCTURED LANGUAGES"
SICI-3057,"DATA STRUCTURES"
SICI-3058,"PROGRAMMING IN C LANGUAGE"
SICI-3059,"INFORMATION SYSTEMS THEORY AND PRACTICE"
SICI-3108,"FUNDAMENTALS OF WEB DESIGN"
SICI-4046,"INFORMATION SYSTEMS ANALYSIS AND DESIGN"
SICI-4085,"INFORMATION SYSTEMS ANALYSIS METHODS"
SICI-4087,"STRUCTURED INFORMATION SYSTEM ANALYSIS AND DESIGN"
SICI-4088,"DATA COMMUNICATIONS AND NETWORKING"
SICI-4089,"DATA COMMUNICATIONS AND NETWORKING"
SICI-4095,"DATABASE DEVELOPMENT"
SICI-4096,"MANAGEMENT OF CONTEMPORARY ISSUES IN MANAGEMENT INFORMATION SYSTEMS"
SICI-4097,"SYSTEMS DEVELOPMENT"
SICI-4140,"OFFICE AUTOMATION"
SICI-4144,"BUSINESS PROGRAMMING LANGUAGES"
SICI-4145,"SOFTWARE AND HARDWARE CONCEPTS"
SICI-4146,"HARDWARE AND SOFTWARE TECHNOLOGY IN INFORMATION SYSTEMS"
SICI-4155,"DECISION MAKING SUPPORT SYSTEMS"
SICI-4157,"ADVANCED DATABASE CONCEPTS"
SICI-4168,"INFORMATION SYSTEMS AUDITING"
SICI-4175,"INTRODUCTION TO JAVA PROGRAMMING"
SICI-4185,"INTRODUCTION TO PROGRAMMING FOR MOBILE DEVICES"
SICI-4186,"COMPUTER AND MOBILE FORENSICS INVESTIGATIONS"
SICI-4995,"COMPUTERIZED INFORMATION SYSTEMS INTERNSHIP"
ADOF-3005,"ABBREVIATED WRITING SYSTEM IN SPANISH"
ADOF-3007,"ABBREVIATED WRITING SYSTEM IN ENGLISH"
ADOF-3009,"RECORDS MANAGEMENT"
ADOF-3016,"KEYBOARDING AND ITS APPLICATIONS I"
ADOF-3017,"KEYBOARDING AND ITS APPLICATIONS II"
ADOF-3036,"INFORMATION PROCESSING AND BILLING SERVICES IN MEDICAL OFFICES"
ADOF-3105,"INTRODUCTION TO OFFICE ADMINISTRATION"
ADOF-3107,"OFFICE CONCEPTS, SYSTEMS AND TECHNOLOGY"
ADOF-3115,"TELECOMMUNICATIONS IN THE MODERN OFFICE"
ADOF-3125,"LEGAL OFFICE ADMINISTRATION"
ADOF-3135,"INTRODUCTION TO BUSINESS TRANSLATION"
ADOF-4005,"ELECTRONIC PRODUCTION OF DOCUMENTS"
ADOF-4015,"ELECTRONIC TRANSCRIPTION OF DOCUMENTS IN SPANISH"
ADOF-4017,"ELECTRONIC TRANSCRIPTION OF DOCUMENTS IN ENGLISH"
ADOF-4019,"ADMINISTRATIVE OFFICE PROCEDURES"
ADOF-4020,"TRAINING IN ELECTRONIC EQUIPMENT"
ADOF-4025,"OFFICE ADMINISTRATION PRACTICUM"
ADOF-4055,"INTERPERSONAL RELATIONS"
ADOF-4065,"INTRODUCTION OF WORD PROCESSING"
ADOF-4075,"INTEGRATION OF INFORMATION PROCESSING PROGRAMS"
ADOF-4077,"DESIGN AND PROCESSING OF DOCUMENTS"
ADOF-4080,"TRAINING AND SEMINAR PLANNING"
ADOF-4126,"MULTIDISCIPLINARY BUSINESS SEMINAR"
ADOF-4995,"OFFICE ADMINISTRATION INTERNSHIP"
INQU-3047,"CHEMICAL PROCESS MANUFACTURING"
INQU-4001,"HEAT TRANSFER OPERATIONS"
INQU-4002,"MASS TRANSFER OPERATIONS"
INQU-4005,"MATERIALS AND ENERGY BALANCES"
INQU-4008,"MATHEMATICAL ANALYSIS OF CHEMICAL ENGINEERING PROBLEMS"
INQU-4010,"MOMENTUM TRANSFER OPERATIONS"
INQU-4011,"CHEMICAL ENGINEERING THERMODYNAMICS I"
INQU-4012,"CHEMICAL ENGINEERING THERMODYNAMICS II"
INQU-4017,"CHEMICAL ENGINEERING KINETICS AND CATALYSIS"
INQU-4027,"CHEMICAL ENGINEERING SEMINAR"
INQU-4029,"PHARMACEUTICAL OPERATIONS"
INQU-4034,"CHEMICAL ENGINEERING LABORATORY I"
INQU-4038,"PROJECT MANAGEMENT FOR CHEMICAL ENGINEERS"
INQU-4077,"UNIT OPERATIONS IN FOOD PROCESSING"
INQU-4206,"QUANTITATIVE FRAMEWORKS IN BIOLOGICAL SYSTEMS"
INQU-4207,"BIOSEPARATION ENGINEERING"
INQU-4995,"ENGINEERING PRACTICE FOR COOP STUDENTS"
INQU-4998,"UNDERGRADUATE RESEARCH"
INQU-5006,"STATISTICAL METHODS FOR CHEMICAL ENGINEERS"
INQU-5015,"FUNDAMENTALS OF AIR POLLUTION"
INQU-5018,"AIR POLLUTION CONTROL"
INQU-5019,"INDUSTRIAL WASTE CONTROL"
INQU-5020,"CHEMICAL PROCESS SAFETY AND ECONOMICS"
INQU-5021,"CHEMICAL ENGINEERING PROCESS DESIGN I"
INQU-5022,"CHEMICAL ENGINEERING PROCESS DESIGN II"
INQU-5025,"ANALYSIS AND CONTROL OF PROCESSES"
INQU-5026,"MICROCLIMATE AND DISPERSION OF AIR POLLUTANTS"
INQU-5029,"BIOPROCESS ENGINEERING LABORATORY"
INQU-5030,"CHEMICAL ENGINEERING LABORATORY II"
INQU-5035,"BIOREACTOR ENGINEERING"
INQU-5036,"PARTICULATE SYSTEMS"
INQU-5050,"HAZARDOUS WASTE TREATMENT"
INQU-5075,"POLYMER ENGINEERING"
INQU-5076,"POLYMER SCIENCE"
INQU-5995,"SPECIAL PROBLEMS"
INCI-3000,"CONTEMPORARY ISSUES IN CIVIL ENGINEERING"
INCI-4000,"INTRODUCTION TO ARCHITECTURE"
INCI-4001,"GEOMATICS I"
INCI-4002,"GEOMATICS II"
INCI-4005,"AGRICULTURAL SURVEYING"
INCI-4007,"HIGHWAY LOCATION AND CURVE DESIGN"
INCI-4008,"ENVIRONMENTAL ENGINEERING"
INCI-4011,"STRUCTURAL STEEL DESIGN"
INCI-4012,"REINFORCED CONCRETE DESIGN"
INCI-4018,"INTEGRATED PRACTICE IN GEOMATICS"
INCI-4019,"CIVIL ENGINEERING SEMINAR"
INCI-4021,"STRUCTURAL ANALYSIS I"
INCI-4022,"STRUCTURAL ANALYSIS II"
INCI-4026,"HIGHWAY ENGINEERING"
INCI-4035,"CIVIL ENGINEERING MATERIALS"
INCI-4049,"FOUNDATIONS ENGINEERING"
INCI-4051,"GEODESY I"
INCI-4052,"GEODESY II"
INCI-4055,"CONSTRUCTION ENGINEERING AND MANAGEMENT I"
INCI-4056,"CONSTRUCTION ENGINEERING AND MANAGEMENT II"
INCI-4057,"CIVIL ENGINEERING PRACTICE"
INCI-4059,"GEODETIC ASTRONOMY"
INCI-4061,"LEGAL ASPECTS I"
INCI-4062,"LEGAL ASPECTS II"
INCI-4071,"ADJUSTMENT COMPUTATION I"
INCI-4072,"ADJUSTMENT COMPUTATION II"
INCI-4078,"TOPOGRAPHIC DRAWING"
INCI-4079,"PHOTO INTERPRETATION"
INCI-4081,"PHOTOGRAMMETRY I"
INCI-4082,"PHOTOGRAMMETRY II"
INCI-4085,"THEORY OF MAP PROJECTIONS"
INCI-4086,"INTRODUCTION TO PHYSICAL GEODESY"
INCI-4087,"SPECIAL SURVEYS"
INCI-4088,"CARTOGRAPHY"
INCI-4095,"MATHEMATICAL METHODS IN CIVIL ENGINEERING"
INCI-4125,"INTRODUCTION TO LAND INFORMATION SYSTEMS"
INCI-4135,"ELEMENTS OF OPTICS AND REMOTE SENSING IN GEOSPATIAL SCIENCE"
INCI-4136,"APPLIED STATISTICS FOR CIVIL ENGINEERING"
INCI-4137,"TRANSPORTATION ENGINEERING"
INCI-4138,"WATER RESOURCES ENGINEERING"
INCI-4139,"INTRODUCTION TO GEOTECHNICAL ENGINEERING"
INCI-4145,"WATERWORKS AND SEWERAGE DESIGN"
INCI-4146,"INFORMATION TECHNOLOGY APPLICATIONS IN CONSTRUCTION"
INCI-4147,"FUNDAMENTALS OF INTEGRATED PRACTICE FOR RESILIENT AND SUSTAINABLE INFRASTRUCTURE"
INCI-4148,"TRANSPORTATION ENGINEERING STUDIES"
INCI-4201,"LAND SURVEYING AND PLAN READING"
INCI-4202,"LAND SURVEYING AND PLAN READING LABORATORY"
INCI-4211,"LOCATION AND DESIGN LINEAR PROJECTS"
INCI-4212,"LOCATION AND DESIGN OF LINEAR PROJECTS LABORATORY"
INCI-4231,"CIVIL ENGINEERING MATERIALS"
INCI-4232,"CIVIL ENGINEERING MATERIALS LABORATORY"
INCI-4236,"PROBABILITY AND STATISTICS IN CIVIL ENGINEERING"
INCI-4241,"GEOTECHNICAL ENGINEERING"
INCI-4242,"GEOTECHNICAL ENGINEERING LABORATORY"
INCI-4950,"INTEGRATED CIVIL ENGINEERING PROJECT"
INCI-4995,"ENGINEERING PRACTICE FOR CO-OP STUDENTS"
INCI-4998,"UNDERGRADUATE RESEARCH"
INCI-5006,"APPLIED HYDRAULICS"
INCI-5007,"SOLID WASTE MANAGEMENT"
INCI-5008,"INTRODUCTION TO HYDROLOGY"
INCI-5009,"FUNDAMENTALS OF AIR POLLUTION"
INCI-5010,"SUSTAINABLE AND RESILIENT DESIGN AND CONSTRUCTION"
INCI-5012,"APPLIED SANITARY ENGINEERING CHEMISTRY"
INCI-5015,"WATER TREATMENT AND POLLUTION CONTROL"
INCI-5017,"PRESTRESSED CONCRETE STRUCTURES"
INCI-5018,"MATRIX ANALYSIS OF STRUCTURES I"
INCI-5019,"DESIGN OF REINFORCED MASONRY STRUCTURES"
INCI-5021,"INTRODUCTION TO DYNAMICS OF STRUCTURES"
INCI-5027,"MODEL ANALYSIS OF STRUCTURE"
INCI-5029,"PRINCIPLES OF CITY PLANNING"
INCI-5036,"DESIGN-BUILD PROJECT DELIVERY"
INCI-5037,"MANAGEMENT OF CONSTRUCTION ENGINEERING PROJECTS"
INCI-5047,"INTRODUCTION TO ROCK MECHANICS"
INCI-5049,"GEOSYNTHETICS IN CIVIL ENGINEERING"
INCI-5055,"DESIGN OF TIMBER STRUCTURES"
INCI-5056,"STRUCTURAL ANALYSIS III"
INCI-5057,"DESIGN OF REINFORCED CONCRETE STRUCTURES"
INCI-5065,"PRODUCTION OF BITUMINOUS MATERIALS"
INCI-5146,"INTRODUCTION TO TRAFFIC ENGINEERING"
INCI-5995,"SPECIAL TOPICS"
INCI-5996,"SPECIAL PROBLEMS"
CIIC-3015,"INTRODUCTION TO COMPUTER PROGRAMMING I"
CIIC-3075,"FUNDAMENTALS OF COMPUTING"
CIIC-3081,"COMPUTER ARCHITECTURE I"
CIIC-4010,"ADVANCED PROGRAMMING"
CIIC-4020,"DATA STRUCTURES"
CIIC-4025,"ANALYSIS AND DESIGN OF ALGORITHMS"
CIIC-4030,"PROGRAMMING LANGUAGES"
CIIC-4050,"OPERATING SYSTEMS"
CIIC-4060,"DATABASE SYSTEMS"
CIIC-4070,"COMPUTER NETWORKS"
CIIC-4082,"COMPUTER ARCHITECTURE II"
CIIC-4151,"SENIOR DESIGN PROJECT (CAPSTONE)"
CIIC-4995,"ENGINEERING PRACTICE FOR COOP STUDENTS"
CIIC-4998,"UNDERGRADUATE RESEARCH"
CIIC-5015,"ARTIFICIAL INTELLIGENCE"
CIIC-5017,"OPERATING SYSTEM AND NETWORK ADMINISTRATION AND SECURITY"
CIIC-5018,"CRYPTOGRAPHY AND NETWORK SECURITY"
CIIC-5019,"HIGH PERFORMANCE COMPUTING"
CIIC-5029,"COMPILERS DEVELOPMENT"
CIIC-5045,"AUTOMATA AND FORMAL LANGUAGES"
CIIC-5110,"BIOINFORMATICS ALGORITHMS"
CIIC-5120,"VIRTUAL MACHINES"
CIIC-5130,"CLOUD COMPUTING INFRASTRUCTURES"
CIIC-5140,"BIG DATA ANALYTICS"
CIIC-5150,"MACHINE LEARNING ALGORITHMS"
CIIC-5995,"SELECTED TOPICS"
INSO-4101,"INTRODUCTION TO SOFTWARE ENGINEERING"
INSO-4115,"SOFTWARE ENGINEERING REQUIREMENTS"
INSO-4116,"SOFTWARE DESIGN"
INSO-4117,"SOFTWARE RELIABILITY TESTING"
INSO-4151,"SOFTWARE ENGINEERING PROJECT I"
INSO-4152,"SOFTWARE ENGINEERING PROJECT II"
INSO-4995,"ENGINEERING PRACTICE FOR COOP STUDENTS"
INSO-4998,"UNDERGRADUATE RESEARCH IN SOFTWARE ENGINEERING"
INSO-5111,"INTRODUCTION TO HUMAN-COMPUTER INTERACTION"
INSO-5118,"SOFTWARE ENGINEERING PROJECT MANAGEMENT"
INEL-3105,"ELECTRICAL SYSTEMS ANALYSIS I"
INEL-3115,"INTRODUCTION TO ELECTRICAL ENGINEERING"
INEL-4021,"COMMUNICATION SYSTEM THEORY I"
INEL-4048,"ELECTRICAL ENGINEERING PRACTICE"
INEL-4075,"FUNDAMENTALS OF ELECTRICAL ENGINEERING"
INEL-4076,"FUNDAMENTALS OF ELECTRONICS"
INEL-4077,"BASIC ELECTRONICS LABORATORY"
INEL-4078,"FUNDAMENTALS OF CIRCUITS AND ELECTRONICS"
INEL-4085,"FUNDAMENTALS OF TRANSFORMERS AND ELECTRIC MACHINERY"
INEL-4086,"TRANSFORMERS AND ELECTRIC MACHINERY LABORATORY"
INEL-4095,"SIGNALS AND SYSTEMS"
INEL-4102,"ELECTRICAL SYSTEMS ANALYSIS II"
INEL-4103,"ELECTRICAL SYSTEMS ANALYSIS III"
INEL-4115,"ELECTRICAL MEASUREMENTS LABORATORY"
INEL-4151,"ELECTROMAGNETICS I"
INEL-4155,"APPLIED ENGINEERING ELECTROMAGNETICS"
INEL-4156,"APPLIED ELECTROMAGNETICS LABORATORIES"
INEL-4201,"ELECTRONICS I"
INEL-4202,"ELECTRONICS II"
INEL-4205,"LOGIC CIRCUITS"
INEL-4206,"MICROPROCESSORS AND EMBEDDED SYSTEMS"
INEL-4207,"DIGITAL ELECTRONICS"
INEL-4211,"ELECTRONICS LABORATORY I"
INEL-4212,"ELECTRONICS LABORATORY II"
INEL-4218,"INTEGRATED CIRCUIT ENGINEERING"
INEL-4225,"DIGITAL ELECTRONICS LABORATORY"
INEL-4301,"COMMUNICATIONS THEORY I"
INEL-4307,"COMMUNICATION BETWEEN COMPUTERS"
ICOM-4308,"NETWORKING AND ROUTING FUNDAMENTALS"
INEL-4405,"ELECTRIC MACHINES"
INEL-4406,"ELECTRIC MACHINES LABORATORY"
INEL-4407,"ELECTRICAL SYSTEMS DESIGN I"
INEL-4408,"ELECTRICAL SYSTEMS DESIGN II"
INEL-4409,"ILLUMINATION ENGINEERING"
INEL-4415,"POWER SYSTEM ANALYSIS"
INEL-4416,"POWER ELECTRONICS"
INEL-4417,"ALTERNATIVE POWER GENERATION"
INEL-4418,"POWER ELECTRONICS LABORATORY"
INEL-4505,"INTRODUCTION TO CONTROL SYSTEMS"
INEL-4995,"ELECTRICAL ENGINEERING PRACTICE FOR CO-OP STUDENTS"
INEL-4998,"UNDERGRADUATE RESEARCH"
INEL-5046,"MACHINE LEARNING AND PATTERN RECOGNITION"
INEL-5195,"DESIGN PROJECT IN ELECTRICAL ENGINEERING"
INEL-5205,"INSTRUMENTATION"
INEL-5206,"DIGITAL SYSTEMS DESIGN"
INEL-5207,"ANALOG SYSTEMS DESIGN"
INEL-5208,"PRINCIPLES OF BIOMEDICAL INSTRUMENTS"
INEL-5209,"INTRODUCTION TO SOLID STATE ELECTRONICS"
INEL-5218,"INTRODUCTION TO MIXED-SIGNAL TESTING"
INEL-5265,"ANALOG INTEGRATED CIRCUIT DESIGN"
INEL-5307,"OPTICAL COMMUNICATIONS"
INEL-5309,"DIGITAL SIGNAL PROCESSING"
INEL-5315,"THEORY OF COMMUNICATIONS II"
INEL-5326,"COMMUNICATION SYSTEM DESIGN: SIGNAL PROCESSING"
INEL-5327,"IMAGE PROCESSING"
INEL-5406,"DESIGN OF TRANSMISSION AND DISTRIBUTION SYSTEMS"
INEL-5407,"COMPUTER AIDED POWER SYSTEM DESIGN"
INEL-5408,"ELECTRICAL MOTORS CONTROL"
INEL-5415,"PROTECTION DESIGN FOR ELECTRICAL SYSTEMS"
INEL-5417,"POWER ELECTRONICS APPLIED TO RENEWABLE ENERGY SYSTEM"
INEL-5505,"LINEAR SYSTEM ANALYSIS"
INEL-5506,"PROCESS INSTRUMENTATION AND CONTROL ENGINEERING"
INEL-5508,"DIGITAL CONTROL SYSTEMS"
INEL-5516,"AUTOMATION AND ROBOTICS"
INEL-5605,"ANTENNA THEORY AND DESIGN"
INEL-5606,"MICROWAVE ENGINEERING"
INEL-5608,"RADIO FREQUENCIES (RF) SPECTRUM MANAGEMENT"
INEL-5616,"WIRELESS COMMUNICATION"
INEL-5625,"COMMUNICATION SYSTEM DESIGN: CIRCUITS AND ANTENNAS"
INEL-5995,"SPECIAL PROBLEMS"
ICOM-4009,"SOFTWARE ENGINEERING"
ICOM-4015,"ADVANCED PROGRAMMING"
ICOM-4017,"COMPUTER-BASED INFORMATION SYSTEMS"
ICOM-4029,"COMPILER CONSTRUCTION"
ICOM-4035,"DATA STRUCTURES"
ICOM-4036,"STRUCTURE AND PROPERTIES OF PROGRAMMING LANGUAGES"
ICOM-4038,"ALGORITHM DESIGN AND ANALYSIS"
ICOM-4046,"DIGITAL PROCESSING OF SIGNALS"
ICOM-4048,"PRACTICAL EXPERIENCE IN COMPUTER ENGINEERING"
ICOM-4066,"SOFTWARE PROJECT MANAGEMENT"
ICOM-4075,"FOUNDATIONS OF COMPUTING"
ICOM-4215,"COMPUTER ARQUITECTURE AND ORGANIZATION"
ICOM-4217,"EMBEDDED SYSTEMS DESIGN"
ICOM-4995,"COMPUTER ENGINEERING PRACTICE FOR COOP STUDENTS"
ICOM-4998,"UNDERGRADUATE RESEARCH"
ICOM-5007,"OPERATING SYSTEMS PROGRAMMING"
ICOM-5016,"DATABASE SYSTEMS"
ICOM-5017,"OPERATING SYSTEM AND NETWORK ADMINISTRATION AND SECURITY"
ICOM-5018,"CRYPTOGRAPHY AND NETWORK SECURITY"
ICOM-5025,"OBJECT-ORIENTED SOFTWARE DEVELOPMENT"
ICOM-5035,"COMPUTER GRAPHICS"
ICOM-5047,"COMPUTER ENGINEERING DESIGN"
ICOM-5104,"COMPUTATIONAL SYSTEMS BIOLOGY"
ICOM-5995,"SPECIAL PROBLEMS"
INGE-3011,"ENGINEERING GRAPHICS I"
INGE-3012,"ENGINEERING GRAPHICS II"
